"ID";"label";"Country";"N";"B_IB";"B_ATT";"B_PBC";"B_PN";"B_SN";"IB_ATT";"IB_PBC";"IB_PN";"IB_SN";"ATT_PBC";"ATT_PN";"ATT_SN";"PBC_PN";"PBC_SN";"PN_SN";"POW";"IC";"MASC";"UA";"LSO";"INDUL";"UA_p";"FUT_p";"POW_p";"inst_p";"HUMAN_p";"PERF_p";"ingr_p";"EGAL_p";"ASSERT_p";"UA_v";"FUT_v";"POW_v";"inst_v";"HUMAN_v";"PERF_v";"ingr_v";"EGAL_v";"ASSERT_v"
"84";84;"Guido et al (2010)";"France";49;NA;NA;NA;NA;NA;0.187;0.027;0.519;0.36351;0.025274484;0.037932;NA;0.019888;NA;0.29;68;71;43;86;63;48;4.43;3.48;5.28;3.93;3.4;4.11;4.37;3.64;4.13;4.26;4.96;2.76;4.86;5.67;5.65;5.42;4.4;3.38
"85";85;"Guido et al (2010)";"Italy";158;NA;NA;NA;NA;NA;0.319;0.433;0.338;0.495082;0.019977984;0.052992;NA;0.04524;NA;0.589;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"86";86;"Aman et al (2012)";"Malaysia";384;NA;NA;NA;NA;NA;0.312;NA;NA;NA;NA;NA;NA;NA;NA;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"87";87;"Chen & Tung (2014)";"Taiwan";559;NA;NA;NA;NA;NA;0.5;0.57;0.37;0.52;0.34;0.33;0.35;0.37;0.36;0.21;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"88";88;"Claudy et al (2013)";"Ireland";254;NA;NA;NA;NA;NA;0.34;NA;0.18;NA;NA;0.47;NA;NA;NA;NA;28;70;68;35;24;65;4.3;3.98;5.15;4.63;4.96;4.36;5.14;3.21;3.92;4.02;5.22;2.71;4.59;5.47;5.98;5.74;5.14;3.99
"89";89;"Cordano et al (2009)";"USA";369;NA;0.115;NA;0.35;NA;NA;NA;NA;NA;NA;0.26;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"90";90;"Corral-Verdugo & Fr�as-Armenta (2006)";"Mexico";177;NA;NA;NA;0.2335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;30;69;82;24;97;4.18;3.87;5.22;4.06;3.98;4.1;5.71;3.64;4.45;5.26;5.86;2.85;4.92;5.1;6.16;5.95;4.73;3.79
"91";91;"de Leeuw et al (2015)";"Luxembourg";602;0.38;0.38;0.38;0.4;0.27;0.62;0.72;0.75;0.51;0.61;0.55;0.5;0.6;0.49;0.53;40;60;50;70;64;56;4.96;4.44;4.68;4.125;3.52;4.285;3.86;3.3;4.435;3.28;4.96;2.495;4.685;5.33;5.75;5.175;4.94;3.055
"92";92;"Evans et al (2007)";"USA";100;NA;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"93";93;"Greaves et al (2013)";"UK";423;NA;NA;NA;NA;NA;0.69;0.083333333;NA;0.416666667;0.04;NA;0.25;NA;0.14;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"94";94;"Han (2015)";"USA";308;NA;NA;NA;NA;NA;0.62;0.436;NA;0.559;0.498;NA;0.501;NA;0.316;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"95";95;"Kim et al (2012)";"South Korea";144;NA;NA;NA;NA;NA;0.46;0.38;NA;0.27;0.17;NA;0.3;NA;0.37;NA;60;18;39;85;100;29;3.55;3.97;5.61;5.2;3.81;4.55;5.54;2.5;4.4;4.67;5.69;2.55;3.9;5.6;5.25;5.41;4.22;3.75
"96";96;"Kim et al (2012)";"USA";189;NA;NA;NA;NA;NA;0.54;0.64;NA;0.38;0.57;NA;0.37;NA;0.36;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"97";97;"Niaura (2013)";"Lithuania";459;0.4;NA;0.29;NA;0.2;NA;0.36;NA;0.22;NA;NA;NA;NA;0.11;NA;42;60;19;65;82;16;3.25;2.995;5.31;4.515;3.775;3.64;5.575;4.045;3.87;4.89;5.34;2.87;4.055;5.445;5.83;5.765;4.35;3.365
"98";98;"Kranz & Picot (2011)";"Germany";708;NA;NA;NA;NA;NA;0.59;0.34;NA;0.33;0.42;NA;0.26;NA;0.11;NA;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"99";99;"Scherbaum et al (2008)";"USA";154;0.35;NA;NA;0.38;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"100";100;"Teng et al (2013)";"Taiwan";258;NA;NA;NA;NA;NA;0.529;0.174;NA;0.504;0.102;NA;0.5;NA;0.129;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"101";101;"Tikir & Lehmann (2011)";"Switzerland";1563;NA;NA;NA;NA;NA;0.8175;NA;NA;0.6855;NA;NA;0.67;NA;NA;NA;34;68;70;58;74;66;5.37;4.73;4.9;4.06;3.6;4.94;3.97;2.97;4.51;3.16;4.79;2.44;4.69;5.54;5.82;4.94;4.92;3.21
"102";102;"Zhao et al (2014)";"China";500;NA;0.377;0.405;NA;NA;NA;NA;NA;NA;0.695;NA;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"103";103;"Judge et al (2019)";"Australia";330;NA;NA;NA;NA;NA;0.58;0.57;0.74;NA;0.38;0.51;NA;0.54;NA;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"104";104;"Russell et al (2017)";"UK";172;0.06;0.17;0.23;NA;0.05;0.36;0.43;NA;0.42;0.3;NA;0.56;NA;0.33;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"105";105;"Yadav & Pathak (2016)";"India";256;NA;NA;NA;NA;NA;0.55;0.15;-0.02;NA;-0.03;0.02;NA;-0.09;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"106";106;"Stancu et al (2016)";"Denmark";1062;0.4;0.27;0.44;0.1;0.33;0.51;0.35;0.37;0.49;0.41;0.56;0.49;0.25;0.37;0.39;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"107";107;"Wong et al (2018)";"Taiwan";539;NA;NA;NA;NA;NA;0.48;0.37;0.42;NA;0.26;0.24;NA;0.38;NA;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"108";108;"Zhang et al (2019)";"China";413;0.326;0.35;0.1;0.492;NA;0.546;0.113;0.442;NA;0.084;0.491;NA;-0.01;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"109";109;"Di Falco & Sharma-Khushal (2019)";"Fiji Islands";205;NA;NA;NA;NA;NA;0.318;0.295;NA;0.341;0.355;NA;0.332;NA;0.082;NA;NA;14;NA;NA;NA;NA;4.32;3.81;5.165;4.73;4.72;4.595;5.015;3.43;3.715;4.62;5.735;3.125;4.49;4.925;6.105;6.195;4.405;4.34
"110";110;"Arslan & S?ar (2018)";"Turkey";94;0.42;0.37;0.49;NA;0.02;0.57;0.49;NA;0.43;0.41;NA;0.29;NA;0.22;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"111";111;"Liao et al (2018)";"China";594;NA;NA;NA;NA;NA;0.71;0.59;NA;0.74;0.46;NA;0.65;NA;0.56;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"112";112;"Akulume & Kiwanuka (2016)";"Uganda";163;0.524;0.293;0.452;NA;0.377;0.213;0.18;NA;0.226;0.246;NA;0.482;NA;0.494;NA;64;27;53;52;NA;NA;4.125;3.695;5.49;4.365;4.84;4.2;5.705;2.95;4.065;4.7;5.985;2.55;4.805;5.36;6.345;5.81;4.385;4.49
"113";113;"Liu et al (2017)";"China";600;NA;NA;NA;NA;NA;0.44;NA;0.348;NA;NA;0.428;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"114";114;"Deng et al (2017)";"China";488;NA;NA;0.145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"115";115;"Han et al (2019)";"USA";350;NA;NA;NA;NA;NA;0.536;NA;0.808;0.709;NA;0.507;0.408;NA;NA;0.716;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"116";116;"Wang et al (2019a)";"China";1349;NA;NA;NA;NA;NA;0.242;0.241;NA;0.247;0;NA;0;NA;0;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"117";117;"Lizin et al (2017)";"Belgium";1638;NA;NA;NA;NA;NA;0.412;0.631;0.692;0.542;0.395;0.411;0.379;0.586;0.539;0.573;65;75;54;94;82;57;4.96;4.44;4.68;4.125;3.52;4.285;3.86;3.3;4.435;3.28;4.96;2.495;4.685;5.33;5.75;5.175;4.94;3.055
"118";118;"Al Mamun et al (2018)";"Malaysia";380;0.499;0.335;0.513;NA;0.077;0.519;0.572;NA;0.245;0.415;NA;0.198;NA;0.322;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"119";119;"Botetzagias et al (2015)";"Greece";293;NA;NA;NA;NA;NA;0.323;0.606;0.38;0.352;0.231;0.583;0.168;0.298;0.412;0.265;60;35;57;112;45;50;3.39;3.4;5.4;3.25;3.34;3.2;5.27;3.48;4.58;5.09;5.19;2.39;5.4;5.23;5.81;5.46;4.89;2.96
"120";120;"Chen & Tung (2010)";"Taiwan";541;NA;NA;NA;NA;NA;0.54;0.44;0.45;0.47;0.55;0.51;0.63;0.53;0.57;0.47;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"121";121;"Pamuk & Kahriman-Pamuk (2019)";"Turkey";834;0.422;0.157;0.142;NA;0.214;0.398;0.451;NA;0.35;0.331;NA;0.342;NA;0.179;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"122";122;"Strydom (2018)";"South Africa";2004;0.408;0.365;0.48;NA;0.494;0.597;0.523;NA;0.662;0.658;NA;0.793;NA;0.766;NA;49;65;63;49;NA;NA;4.34;4.385;4.635;4.505;3.915;4.385;4.795;3.465;4.48;4.73;5.43;3.145;4.34;5.36;5.575;5.45;4.43;3.755
"123";123;"Sopha & Kl�ckner (2011)";"Norway";737;NA;NA;NA;NA;NA;0.85;0.75;0.17;0.11;0.77;0.24;-0.06;0.16;-0.09;-0.01;31;69;8;50;35;55;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"124";124;"Peters et al (2011)";"Switzerland";302;NA;NA;0.26;0.36;0.13;NA;NA;NA;NA;NA;NA;NA;0.22;0.15;0.29;34;68;70;58;74;66;5.175;4.5;4.88;4.14;3.765;4.595;3.91;3.195;3.99;3.495;4.795;2.62;4.5;5.58;5.9;5.145;4.805;3.495
"125";125;"Kerr et al (2010)";"Australia";189;0.715;0.388;0.602;NA;0.538;0.446;0.756;NA;0.704;0.542;NA;0.524;NA;0.677;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"126";126;"Han et al (2010)";"USA";428;NA;NA;NA;NA;NA;0.645;0.45;NA;0.585;0.256;NA;0.487;NA;0.229;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"127";127;"van Birgelen et al (2009)";"Germany";176;NA;0.59;0.45;NA;0.56;NA;NA;NA;NA;0.57;NA;0.5;NA;0.54;NA;35;67;66;65;83;40;5.19;4.11;5.395;3.675;3.29;4.17;4.27;3.08;4.64;3.63;5.04;2.615;4.75;5.45;6.05;5.2;4.895;3.16
"128";128;"Abrahamse et al (2009)";"Canada";244;0.3;0.52;0.69;0.25;0.06;0.3;0.32;0.43;0.13;0.45;0.45;0.15;0.34;-0.02;0.1;39;80;52;48;36;68;4.58;4.44;4.82;4.38;4.49;4.49;4.26;3.7;4.05;3.75;5.35;2.7;4.17;5.64;6.15;5.97;5.11;4.15
"129";129;"Hinds & Sparks (2008)";"UK";199;NA;NA;NA;NA;NA;0.58;0.22;NA;0.45;0.22;NA;0.43;NA;0.12;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"130";130;"de Groot & Steg (2007)";"Netherlands";218;NA;NA;NA;NA;NA;0.47;0.29;NA;0.41;-0.01;NA;0.31;NA;0.08;NA;38;80;14;53;67;68;4.7;4.61;4.11;4.46;3.86;4.32;3.7;3.5;4.32;3.24;5.07;2.45;4.55;5.2;5.49;5.17;4.99;3.02
"131";131;"Ando et al (2007)";"USA";160;NA;0.35;NA;NA;0.17;NA;NA;NA;NA;NA;NA;0.19;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"132";132;"Ando et al (2007)";"Japan";114;NA;0.18;NA;NA;0.2;NA;NA;NA;NA;NA;NA;0.27;NA;NA;NA;54;46;95;92;88;42;4.07;4.29;5.11;5.19;4.3;4.22;4.63;3.19;3.59;4.33;5.25;2.86;3.99;5.41;5.17;5.26;4.33;5.56
"133";133;"Nordlund & Garvill (2003)";"Sweden";1534;NA;NA;NA;NA;NA;NA;NA;0.44;NA;NA;NA;NA;NA;NA;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"134";134;"Kaiser & Scheuthle (2003)";"Switzerland";823;NA;NA;NA;NA;NA;0.85;0.82;0.78;0.73;0.76;0.92;0.68;0.7;0.67;0.75;34;68;70;58;74;66;5.37;4.73;4.9;4.06;3.6;4.94;3.97;2.97;4.51;3.16;4.79;2.44;4.69;5.54;5.82;4.94;4.92;3.21
"135";135;"Bamberg (2003)";"Germany";380;0.77;0.54;0.3;NA;0.48;0.69;0.48;NA;0.64;0.29;NA;0.54;NA;0.36;NA;35;67;66;65;83;40;5.19;4.11;5.395;3.675;3.29;4.17;4.27;3.08;4.64;3.63;5.04;2.615;4.75;5.45;6.05;5.2;4.895;3.16
"136";136;"Heath and Gifford (2002)";"Canada";431;NA;NA;NA;NA;NA;0.69;0.6;0.33;0.68;0.48;0.4;0.59;0.29;0.43;0.41;39;80;52;48;36;68;4.58;4.44;4.82;4.38;4.49;4.49;4.26;3.7;4.05;3.75;5.35;2.7;4.17;5.64;6.15;5.97;5.11;4.15
"137";137;"Lu�s et al (2018)";"Portugal";42;NA;NA;NA;NA;NA;0.419;0.102;NA;0.476;0.102;NA;0.543;NA;0.167;NA;63;27;31;104;30;NA;3.91;3.71;5.44;3.92;3.91;3.6;5.51;3.66;3.65;4.43;5.43;2.38;5.3;5.31;6.4;5.94;5.13;3.58
"138";138;"Lu�s et al (2018)";"France";43;NA;NA;NA;NA;NA;-0.133;0.16;NA;0.396;0.051;NA;0.112;NA;-0.021;NA;68;71;43;86;63;48;4.43;3.48;5.28;3.93;3.4;4.11;4.37;3.64;4.13;4.26;4.96;2.76;4.86;5.67;5.65;5.42;4.4;3.38
"139";139;"Lu�s et al (2018)";"Greece";30;NA;NA;NA;NA;NA;0.343;0.605;NA;0.243;0.022;NA;-0.129;NA;0.432;NA;60;35;57;112;45;50;3.39;3.4;5.4;3.25;3.34;3.2;5.27;3.48;4.58;5.09;5.19;2.39;5.4;5.23;5.81;5.46;4.89;2.96
"140";140;"Maki & Rothman (2017)";"USA";191;0.668;0.279;0.328;NA;0.401;0.433;0.387;NA;0.352;0.254;NA;0.292;NA;0.142;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"141";141;"Lentz et al (2018)";"New Zealand";843;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.142;NA;0.124;NA;-0.254;NA;22;79;58;49;33;75;4.75;3.47;4.89;4.81;4.32;4.72;3.67;3.22;3.42;4.1;5.54;3.53;4.2;4.49;5.9;6.21;4.23;3.54
"142";142;"Al-Swidi et al (2014)";"Pakistan";184;NA;NA;NA;NA;NA;0.798;0.216;NA;0.696;0.18;NA;0.562;NA;0.314;NA;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"143";143;"Chaudhary (2018)";"India";202;0.499;NA;NA;0.3;NA;NA;NA;0.677;NA;NA;NA;NA;NA;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"144";144;"Chaudhary & Bisai (2018)";"India";202;0.537;0.388;0.3;NA;0.589;0.795;0.677;NA;0.666;0.675;NA;0.477;NA;0.749;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"145";145;"Dezdar (2017)";"Iran";633;0.604;0.355;0.364;NA;0.42;0.582;0.405;NA;0.46;0.411;NA;0.358;NA;0.348;NA;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"146";146;"Tenkasi & Zhang (2017)";"China";873;0.68;0.43;0.4;0.05;0.23;0.41;0.31;0.07;0.27;0.36;0.21;0.14;0.1;0.14;0.12;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"147";147;"Zhang et al (2012)";"China";205;0.71;0.35;0.31;0.23;0.31;0.51;0.49;0.36;0.43;0.57;0.2;0.36;0.33;0.34;0.35;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"148";148;"Wang et al (2018a)";"China";324;NA;NA;NA;NA;NA;0.73;0.59;NA;0.73;0.52;NA;0.71;NA;0.56;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"149";149;"Yazdanpanah & Forouzani (2015)";"Iran";389;NA;NA;NA;NA;NA;0.65;-0.021;0.56;0.049;0.003;0.55;-0.025;-0.003;0.075;0.062;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"150";150;"Fan et al (2019)";"China";300;0.937;NA;0.036;NA;0.368;NA;0.154;NA;0.363;NA;NA;NA;NA;0.107;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"151";151;"Fan et al (2019)";"Singapore";800;0.861;NA;0.507;NA;0.407;NA;0.484;NA;0.389;NA;NA;NA;NA;0.528;NA;74;20;48;8;48;NA;5.31;5.07;4.99;4.9;3.49;4.9;5.64;3.7;4.17;4.22;5.51;3.04;4.55;5.79;5.72;5.5;4.51;4.41
"152";152;"Han & Hyun (2017)";"South Korea";429;NA;NA;NA;NA;NA;0.52;0.45;0.56;0.45;0.45;0.39;0.4;0.37;0.41;0.45;60;18;39;85;100;29;3.55;3.97;5.61;5.2;3.81;4.55;5.54;2.5;4.4;4.67;5.69;2.55;3.9;5.6;5.25;5.41;4.22;3.75
"153";153;"Zhou et al (2013)";"China";479;NA;NA;NA;NA;NA;0.565;0.26;NA;0.456;0.223;NA;0.511;NA;0.249;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"154";154;"Huang et al (2018)";"Australia";250;0.245;0.114;0.19;0.138;0.171;0.592;0.322;0.571;0.528;0.426;0.525;0.438;0.317;0.193;0.443;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"155";155;"Wan et al (2017)";"China";246;NA;NA;NA;NA;NA;0.73;0.79;0.836;0.702;0.607;0.786;0.611;0.737;0.646;0.731;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"156";156;"Ar? & Y?lmaz (2016)";"Turkey";400;0.31;0.11;0.4;NA;0.1;0.12;0.42;NA;0.22;0.28;NA;0.17;NA;0.2;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"157";157;"Gao et al (2017)";"China";320;NA;NA;NA;NA;NA;0.25;0.45;0.21;0.31;0.2;0.05;0.3;0.09;0.52;0.09;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"158";158;"Ru et al (2018a)";"China";450;NA;NA;NA;NA;NA;0.544;0.488;0.527;0.409;0.265;0.574;0.569;0.301;0.152;0.504;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"159";159;"Wan et al (2014)";"China";198;0.875;0.657;0.855;0.786;0.643;0.718;0.846;0.839;0.73;0.68;0.803;0.628;0.789;0.632;0.744;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"160";160;"Zhang et al (2018)";"China";1272;NA;NA;NA;NA;NA;NA;NA;0.761;NA;NA;NA;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"161";161;"Zhang et al (2017)";"China";1958;NA;NA;NA;NA;NA;0.632;0.7;0.774;0.591;0.655;0.692;0.714;0.734;0.754;0.648;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"162";162;"Ru et al (2018b)";"China";419;NA;NA;NA;NA;NA;0.534;0.466;0.527;0.335;0.26;0.588;0.467;0.314;0.176;0.411;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"163";163;"Wang et al (2018b)";"China";320;0.53;0.09;0.55;0.18;0.34;0.24;0.45;0.21;0.3;0.19;0.07;0.29;0.09;0.48;0.08;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"164";164;"Fornara et al (2016)";"Italy";432;NA;NA;NA;NA;NA;0.224;NA;0.244;0.213;NA;0.247;0.248;NA;NA;0.28;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"165";165;"Kautish et al (2019)";"India";312;NA;NA;0.528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"166";166;"Shen et al (2019)";"China";524;NA;NA;NA;NA;NA;0.334;0.601;0.654;0.526;0.333;0.41;0.208;0.515;0.518;0.445;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"167";167;"Liao & Li (2019)";"China";526;0.54;0.59;0.48;NA;0.51;0.75;0.33;NA;0.59;0.53;NA;0.57;NA;0.58;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
